hindi,marathi,english,roman,situation,note,status
सर्दी का मौसम,हिवाळा,winter,sardi ka mausam,weather,,draft
मैं खुश हूँ,मी खूश आहे,I'm happy,main khush hoon,feelings,आनंदी is the pure Marathi,draft
मैं उदास हूँ,मी उदास आहे,I'm sad,main udaas hoon,feelings,,draft
मुझे गुस्सा आ रहा है,मला राग येतोय,I'm getting angry,mujhe gussa aa raha hai,feelings,,draft
मैं थक गया,मी दमलो,I'm tired,main thak gaya,feelings,male — female दमले,draft
मुझे नींद आ रही है,मला झोप येतेय,I'm sleepy,mujhe neend aa rahi hai,feelings,,draft
मुझे डर लग रहा है,मला भीती वाटतेय,I'm scared,mujhe dar lag raha hai,feelings,,draft
मुझे अच्छा लगा,मला छान वाटलं,I liked it,mujhe achha laga,feelings,,draft
मुझे बुरा लगा,मला वाईट वाटलं,I felt bad,mujhe bura laga,feelings,,draft
मैं बोर हो रहा हूँ,मला कंटाळा आलाय,I'm bored,main bore ho raha hoon,feelings,,draft
मुझे याद आती है,मला आठवण येते,I miss you,mujhe yaad aati hai,feelings,,draft
मुझे तुमसे प्यार है,माझं तुझ्यावर प्रेम आहे,I love you,mujhe tumse pyaar hai,feelings,,draft
मुझे चिंता है,मला काळजी वाटते,I'm worried,mujhe chinta hai,feelings,,draft
कुछ नहीं होगा,काही होणार नाही,nothing will happen / don't worry,kuchh nahi hoga,feelings,reassurance,draft
मैं,मी,I,main,words,,draft
तुम,तू,you (casual),tum,words,,draft
आप,तुम्ही,you (polite),aap,words,,draft
वह,तो / ती / ते,he / she / it,vah,words,he / she / it,draft
हम,आम्ही,we,hum,words,आपण when the listener is included,draft
वे,ते,they,ve,words,,draft
यह,हा / ही / हे,this,yeh,words,by gender of the noun,draft
मेरा,माझा,my,mera,words,माझी / माझं by gender of the noun,draft
तुम्हारा,तुझा,your (casual),tumhara,words,,draft
आपका,तुमचा,your (polite),aapka,words,,draft
उसका,त्याचा / तिचा,his / her,uska,words,his / her,draft
हमारा,आमचा,our,hamara,words,,draft
और,आणि,and,aur,words,,draft
लेकिन,पण,but,lekin,words,,draft
या,किंवा,or,ya,words,,draft
क्योंकि,कारण,because,kyonki,words,,draft
अगर,जर,if,agar,words,,draft
तो,तर,then,to,words,,draft
भी,पण / सुद्धा,also,bhi,words,,draft
बहुत,खूप,very / a lot,bahut,words,,draft
थोड़ा,थोडं,a little,thoda,words,,draft
ज़्यादा,जास्त,more,zyada,words,,draft
कम,कमी,less,kam,words,,draft
बड़ा,मोठा,big,bada,words,,draft
छोटा,लहान,small,chhota,words,,draft
अच्छा (गुण),चांगला,good,achha,words,,draft
बुरा,वाईट,bad,bura,words,,draft
नया,नवीन,new,naya,words,,draft
पुराना,जुना,old,purana,words,,draft
सस्ता,स्वस्त,cheap,sasta,words,,draft
महँगा,महाग,expensive,mehenga,words,,draft
जल्दी,लवकर,quickly / early,jaldi,words,,draft
धीरे,हळू,slowly,dheere,words,,draft
सही,बरोबर,correct,sahi,words,,draft
ग़लत,चूक,wrong,galat,words,,draft
खुला,उघडा,open,khula,words,,draft
बंद,बंद,closed,band,words,,draft
आना,येणे,to come,aana,words,,draft
जाना,जाणे,to go,jaana,words,,draft
करना,करणे,to do,karna,words,,draft
देना,देणे,to give,dena,words,,draft
लेना,घेणे,to take,lena,words,,draft
खाना (क्रिया),खाणे / जेवणे,to eat,khana,words,eat / have a meal,draft
पीना,पिणे,to drink,peena,words,,draft
देखना,बघणे,to see,dekhna,words,,draft
सुनना,ऐकणे,to hear,sunna,words,,draft
बोलना,बोलणे,to speak,bolna,words,,draft
पढ़ना,वाचणे,to read,padhna,words,to read — शिकणे is to study,draft
लिखना,लिहिणे,to write,likhna,words,,draft
सोना,झोपणे,to sleep,sona,words,,draft
उठना,उठणे,to get up,uthna,words,,draft
बैठना,बसणे,to sit,baithna,words,,draft
चलना,चालणे,to walk,chalna,words,,draft
दौड़ना,धावणे,to run,daudna,words,,draft
समझना,समजणे,to understand,samajhna,words,,draft
जानना,माहीत असणे,to know,jaanna,words,,draft
चाहना,हवं असणे,to want,chahna,words,,draft
मिलना,भेटणे,to meet,milna,words,,draft
खरीदना,विकत घेणे,to buy,kharidna,words,,draft
बेचना,विकणे,to sell,bechna,words,,draft
सीखना,शिकणे,to learn,seekhna,words,,draft
भूलना,विसरणे,to forget,bhoolna,words,,draft
याद रखना,लक्षात ठेवणे,to remember,yaad rakhna,words,,draft
रुकना,थांबणे,to stop,rukna,words,,draft
खोलना,उघडणे,to open,kholna,words,,draft
बंद करना,बंद करणे,to close,band karna,words,,draft
कौन सा प्लेटफ़ॉर्म है?,कोणता प्लॅटफॉर्म आहे?,which platform is it?,kaun sa platform hai,train,,draft
पनवेल की ट्रेन किस प्लेटफ़ॉर्म पर है?,पनवेलची ट्रेन कोणत्या प्लॅटफॉर्मवर आहे?,which platform for the Panvel train?,panvel ki train kis platform par hai,train,,draft
यह ट्रेन कहाँ तक जाती है?,ही गाडी कुठपर्यंत जाते?,how far does this train go?,yeh train kahan tak jaati hai,train,ट्रेन and गाडी are both used,draft
यह फ़ास्ट है या स्लो?,ही फास्ट आहे की स्लो?,is this fast or slow?,yeh fast hai ya slow,train,,draft
यह ठाणे रुकेगी?,ही ठाण्याला थांबेल का?,does this stop at Thane?,yeh thane rukegi,train,,draft
यह दादर जाएगी?,ही दादरला जाईल का?,does this go to Dadar?,yeh dadar jaayegi,train,,draft
अगला स्टेशन कौन सा?,पुढचं स्टेशन कोणतं?,which is the next station?,agla station kaun sa,train,,draft
दादर आ गया?,दादर आलं का?,has Dadar come?,dadar aa gaya,train,,draft
दादर कितने स्टॉप बाद?,दादर किती स्टॉप नंतर?,how many stops to Dadar?,dadar kitne stop baad,train,,draft
मुझे अगले स्टेशन पर उतरना है,मला पुढच्या स्टेशनला उतरायचं आहे,I have to get off at the next station,mujhe agle station par utarna hai,train,,draft
आगे चलिए,पुढे चला,move forward,aage chaliye,train,,draft
थोड़ा अंदर चलिए,जरा आत चला,move inside a little,thoda andar chaliye,train,,draft
जगह दीजिए,जागा द्या,make some room,jagah dijiye,train,,draft
उतरने दीजिए,उतरू द्या,let me get off,utarne dijiye,train,,draft
चढ़ने दीजिए,चढू द्या,let me get on,chadhne dijiye,train,,draft
पहले उतरने दो,आधी उतरू द्या,let people off first,pehle utarne do,train,,draft
धक्का मत दीजिए,धक्का देऊ नका,don't push,dhakka mat dijiye,train,,draft
यह सीट खाली है?,ही जागा रिकामी आहे का?,is this seat free?,yeh seat khali hai,train,,draft
यहाँ बैठ सकता हूँ?,इथे बसू का?,may I sit here?,yahan baith sakta hoon,train,same for a woman — the verb does not change,draft
यह सीट किसी की है?,ही जागा कोणाची आहे का?,is this seat taken?,yeh seat kisi ki hai,train,,draft
चौथी सीट,चौथी सीट,fourth seat,chauthi seat,train,,draft
खड़े रहिए,उभे राहा,please stand,khade rahiye,train,,draft
दरवाज़े पर मत खड़े रहिए,दारात उभं राहू नका,don't stand in the doorway,darwaze par mat khade rahiye,train,,draft
अंदर आ जाइए,आत या,come inside,andar aa jaiye,train,,draft
गाड़ी छूट गई,गाडी सुटली,I missed the train,gaadi chhoot gayi,train,,draft
गाड़ी लेट है,गाडी उशिरा आहे,the train is late,gaadi late hai,train,,draft
कितनी देर से है?,किती उशीर आहे?,how late is it?,kitni der se hai,train,,draft
अगली गाड़ी कब है?,पुढची गाडी कधी आहे?,when is the next train?,agli gaadi kab hai,train,,draft
मेगा ब्लॉक है क्या?,मेगा ब्लॉक आहे का?,is there a mega block?,mega block hai kya,train,Sunday maintenance shutdown,draft
आज ट्रेन बंद है,आज गाड्या बंद आहेत,trains are off today,aaj train band hai,train,,draft
भीड़ बहुत है,खूप गर्दी आहे,it's very crowded,bheed bahut hai,train,,draft
आज कम भीड़ है,आज कमी गर्दी आहे,it's less crowded today,aaj kam bheed hai,train,,draft
लेडीज़ डिब्बा कहाँ है?,लेडीज डबा कुठे आहे?,where is the ladies' coach?,ladies dibba kahan hai,train,,draft
यह लेडीज़ डिब्बा है,हा लेडीज डबा आहे,this is the ladies' coach,yeh ladies dibba hai,train,,draft
फ़र्स्ट क्लास है,हा फर्स्ट क्लास आहे,this is first class,first class hai,train,,draft
मेरा स्टेशन आ गया,माझं स्टेशन आलं,my station has come,mera station aa gaya,train,,draft
दो टिकट दादर,दादरची दोन तिकिटं द्या,two tickets to Dadar,do ticket dadar,ticket,,draft
वापसी टिकट दीजिए,परतीचं तिकीट द्या,"a return ticket, please",wapsi ticket dijiye,ticket,,draft
कितने का है?,किती रुपये?,how much is it?,kitne ka hai,ticket,,draft
छुट्टे दीजिए,सुटे द्या,give me change,chhutte dijiye,ticket,,draft
मासिक पास बनवाना है,मासिक पास काढायचा आहे,I want to get a monthly pass,masik pass banwana hai,ticket,,draft
पास कहाँ बनता है?,पास कुठे काढतात?,where do I get a pass made?,pass kahan banta hai,ticket,,draft
मेरा पास खत्म हो गया,माझा पास संपला,my pass has expired,mera pass khatam ho gaya,ticket,,draft
फ़ॉर्म भरना है?,फॉर्म भरायचा आहे का?,do I need to fill a form?,form bharna hai,ticket,,draft
लाइन कहाँ है?,रांग कुठे आहे?,where is the queue?,line kahan hai,ticket,,draft
लाइन में लगिए,रांगेत उभे राहा,get in the queue,line mein lagiye,ticket,,draft
मेरा नंबर है,माझा नंबर आहे,it's my turn,mera number hai,ticket,,draft
आगे मत घुसिए,पुढे घुसू नका,don't cut in,aage mat ghusiye,ticket,,draft
टिकट चेकर आया है,तिकीट चेकर आलाय,the ticket checker has come,ticket checker aaya hai,ticket,,draft
टिकट दिखाइए,तिकीट दाखवा,show your ticket,ticket dikhaiye,ticket,,draft
मेरा टिकट खो गया,माझं तिकीट हरवलं,I've lost my ticket,mera ticket kho gaya,ticket,,draft
यूपीआई है?,यूपीआय आहे का?,do you have UPI?,UPI hai,ticket,,draft
यह बस कहाँ जाती है?,ही बस कुठे जाते?,where does this bus go?,yeh bus kahan jaati hai,bus,,draft
कौन सी बस दादर जाती है?,कोणती बस दादरला जाते?,which bus goes to Dadar?,kaun si bus dadar jaati hai,bus,,draft
कितनी देर लगेगी?,किती वेळ लागेल?,how long will it take?,kitni der lagegi,bus,,draft
बस स्टॉप कहाँ है?,बस स्टॉप कुठे आहे?,where is the bus stop?,bus stop kahan hai,bus,,draft
यहाँ रुकती है?,इथे थांबते का?,does it stop here?,yahan rukti hai,bus,,draft
आगे उतरना है,पुढे उतरायचं आहे,I'm getting off ahead,aage utarna hai,bus,,draft
अगले स्टॉप पर रोकिए,पुढच्या स्टॉपला थांबवा,stop at the next stop,agle stop par rokiye,bus,,draft
घंटी बजाइए,घंटी वाजवा,ring the bell,ghanti bajaiye,bus,,draft
टिकट लीजिए,तिकीट घ्या,take a ticket,ticket lijiye,bus,,draft
दो टिकट दीजिए,दोन तिकिटं द्या,"two tickets, please",do ticket dijiye,bus,,draft
कंडक्टर,कंडक्टर,conductor,conductor,bus,,draft
पीछे से चढ़िए,मागून चढा,board from the back,peechhe se chadhiye,bus,,draft
आगे से उतरिए,पुढून उतरा,get off from the front,aage se utariye,bus,,draft
सीट खाली है,जागा रिकामी आहे,the seat is free,seat khali hai,bus,,draft
बुज़ुर्गों के लिए है,ज्येष्ठांसाठी आहे,reserved for senior citizens,buzurgon ke liye hai,bus,reserved seating,draft
रिक्शा मिलेगा?,रिक्षा मिळेल का?,can I get an auto?,rickshaw milega,auto,,draft
पनवेल चलोगे?,पनवेलला याल का?,will you go to Panvel?,panvel chaloge,auto,,draft
मीटर डालिए,मीटर टाका,put on the meter,meter daaliye,auto,,draft
मीटर बंद है,मीटर बंद आहे,the meter is off,meter band hai,auto,,draft
कितना होगा?,किती होईल?,how much will it be?,kitna hoga,auto,,draft
बहुत ज़्यादा है,खूप जास्त आहे,that's too much,bahut zyada hai,auto,,draft
सौ में चलो,शंभरात चला,go for a hundred,sau mein chalo,auto,,draft
शेयर में जाओगे?,शेअरमध्ये जाल का?,will you go shared?,share mein jaoge,auto,,draft
सिग्नल पर रोकिए,सिग्नलला थांबा,stop at the signal,signal par rokiye,auto,,draft
आगे रोकिए,पुढे थांबा,stop ahead,aage rokiye,auto,,draft
थोड़ा आगे,जरा पुढे,a little further,thoda aage,auto,,draft
यहीं ठीक है,इथेच ठीक आहे,right here is fine,yahin theek hai,auto,,draft
बाएँ लीजिए,डावीकडे घ्या,take a left,baayen lijiye,auto,,draft
दाएँ लीजिए,उजवीकडे घ्या,take a right,daayen lijiye,auto,,draft
सीधे चलिए,सरळ चला,go straight,seedhe chaliye,auto,,draft
यू-टर्न लीजिए,यू टर्न घ्या,take a U-turn,u-turn lijiye,auto,,draft
पीछे लीजिए,मागे घ्या,reverse,peechhe lijiye,auto,,draft
गली में लीजिए,गल्लीत घ्या,go into the lane,gali mein lijiye,auto,,draft
सोसाइटी के अंदर लीजिए,सोसायटीत घ्या,go inside the society,society ke andar lijiye,auto,,draft
गेट पर रोकिए,गेटपाशी थांबा,stop at the gate,gate par rokiye,auto,,draft
मेरे पास छुट्टे नहीं हैं,माझ्याकडे सुटे नाहीत,I don't have change,mere paas chhutte nahi hain,auto,,draft
रसीद दीजिए,पावती द्या,give me a receipt,raseed dijiye,auto,,draft
मना कर दिया,नाही म्हणाला,he refused,mana kar diya,auto,when a driver refuses,draft
वह जा नहीं रहा,तो जात नाहीये,he won't go,woh ja nahi raha,auto,,draft
ट्रैफ़िक बहुत है,खूप ट्रॅफिक आहे,there's a lot of traffic,traffic bahut hai,road,,draft
जाम लगा है,जाम लागलाय,there's a jam,jaam laga hai,road,,draft
रास्ता बंद है,रस्ता बंद आहे,the road is closed,rasta band hai,road,,draft
दूसरा रास्ता लीजिए,दुसरा रस्ता घ्या,take another route,doosra rasta lijiye,road,,draft
शॉर्टकट है?,शॉर्टकट आहे का?,is there a shortcut?,shortcut hai,road,,draft
पैदल जा सकते हैं?,चालत जाता येईल का?,can I walk there?,paidal ja sakte hain,road,,draft
दस मिनट लगेंगे,दहा मिनिटं लागतील,it'll take ten minutes,das minute lagenge,road,,draft
पास ही है,जवळच आहे,it's close by,paas hi hai,road,,draft
बहुत दूर है,खूप लांब आहे,it's very far,bahut door hai,road,,draft
सामने ही है,समोरच आहे,it's right in front,saamne hi hai,road,,draft
उस तरफ़,त्या बाजूला,that side,us taraf,road,,draft
इस तरफ़,या बाजूला,this side,is taraf,road,,draft
पुल के नीचे,पुलाखाली,under the bridge,pul ke neeche,road,,draft
पुल के ऊपर,पुलावरून,over the bridge,pul ke oopar,road,,draft
सिग्नल से पहले,सिग्नलच्या आधी,before the signal,signal se pehle,road,,draft
सिग्नल के बाद,सिग्नलनंतर,after the signal,signal ke baad,road,,draft
मंदिर के पास,मंदिराजवळ,near the temple,mandir ke paas,road,,draft
मैं रास्ता भटक गया,मी रस्ता चुकलो,I've lost my way,main rasta bhatak gaya,road,female speaker says चुकले,draft
यह पता कहाँ है?,हा पत्ता कुठे आहे?,where is this address?,yeh pata kahan hai,road,,draft
मुझे यह जगह ढूंढनी है,मला ही जागा शोधायची आहे,I need to find this place,mujhe yeh jagah dhoondhni hai,road,,draft
गूगल मैप गलत दिखा रहा है,गुगल मॅप चुकीचं दाखवतंय,Google Maps is showing it wrong,google map galat dikha raha hai,road,,draft
पेट्रोल भरवाना है,पेट्रोल भरायचं आहे,I need to fill petrol,petrol bharvana hai,road,,draft
फ़ुल टंकी,फुल टाकी,full tank,full tanki,road,,draft
हवा चेक कीजिए,हवा चेक करा,check the air,hawa check kijiye,road,,draft
पंक्चर हो गया,पंक्चर झालं,I've got a puncture,puncture ho gaya,road,,draft
गाड़ी बंद पड़ गई,गाडी बंद पडली,the vehicle has broken down,gaadi band pad gayi,road,,draft
पार्किंग कहाँ है?,पार्किंग कुठे आहे?,where is the parking?,parking kahan hai,road,,draft
यहाँ पार्किंग नहीं है,इथे पार्किंग नाही,there's no parking here,yahan parking nahi hai,road,,draft
गाड़ी हटाइए,गाडी बाजूला घ्या,move the vehicle,gaadi hataiye,road,,draft
टोल कितना है?,टोल किती आहे?,how much is the toll?,toll kitna hai,road,,draft
जल्दी है,घाई आहे,I'm in a hurry,jaldi hai,hurry,,draft
बहुत जल्दी है,खूप घाई आहे,I'm in a great hurry,bahut jaldi hai,hurry,,draft
कोई जल्दी नहीं,घाई नाही,there's no hurry,koi jaldi nahi,hurry,,draft
पाँच मिनट में पहुँचता हूँ,पाच मिनिटांत पोहोचतो,I'll be there in five minutes,paanch minute mein pahunchta hoon,hurry,female speaker says पोहोचते,draft
मैं निकल गया हूँ,मी निघालोय,I've left,main nikal gaya hoon,hurry,female speaker says निघालेय,draft
रास्ते में हूँ,रस्त्यात आहे,I'm on the way,raaste mein hoon,hurry,,draft
पहुँच गया,पोहोचलो,I've arrived,pahunch gaya,hurry,female speaker says पोहोचले,draft
थोड़ा रुकिए,जरा थांबा,wait a moment,thoda rukiye,hurry,,draft
मैं इंतज़ार कर रहा हूँ,मी वाट बघतोय,I'm waiting,main intezaar kar raha hoon,hurry,female speaker says बघतेय,draft
कहाँ हो?,कुठे आहेस?,where are you?,kahan ho,hurry,casual — to one person,draft
बस पहुँच रहा हूँ,आलोच,I'm almost there,bas pahunch raha hoon,hurry,literally 'I have come' — said when nearly there,draft
निकल रहा हूँ,निघतोय,I'm leaving now,nikal raha hoon,hurry,female speaker says निघतेय,draft
